Column 1,Column 2,Pearson,Spearman,Difference,Relationship,Recommended
hypertension,heart_disease,0.2904,0.7584,0.468,Monotonic but Non-linear,Use Spearman
heart_disease,triglycerides,-0.1196,-0.3692,0.2496,Monotonic but Non-linear,Use Spearman
hypertension,triglycerides,-0.1112,-0.3503,0.2391,Monotonic but Non-linear,Use Spearman
hypertension,HbA1c_level,0.2649,0.3912,0.1263,Monotonic but Non-linear,Use Spearman
bmi,crp_level,-0.0384,-0.1642,0.1258,Monotonic but Non-linear,Use Spearman
HbA1c_level,blood_pressure,0.0694,0.1923,0.1229,Monotonic but Non-linear,Use Spearman
age,heart_disease,0.4047,0.5231,0.1184,Monotonic but Non-linear,Use Spearman
heart_disease,HbA1c_level,0.2234,0.3405,0.1171,Monotonic but Non-linear,Use Spearman
age_normalized,heart_disease,0.4047,0.5177,0.113,Monotonic but Non-linear,Use Spearman
bmi,homocysteine_level,0.063,0.1661,0.1031,Monotonic but Non-linear,Use Spearman
age,hypertension,0.3899,0.4909,0.101,Monotonic but Non-linear,Use Spearman
age_normalized,hypertension,0.3899,0.4858,0.0958,Monotonic but Non-linear,Use Spearman
bmi,heart_disease,0.0693,0.1462,0.077,Monotonic but Non-linear,Use Spearman
heart_disease,crp_level,-0.0123,-0.0859,0.0736,Monotonic but Non-linear,Use Spearman
HbA1c_level,homocysteine_level,-0.0119,-0.0824,0.0705,Monotonic but Non-linear,Use Spearman
crp_level,homocysteine_level,0.0,-0.0684,0.0684,Monotonic but Non-linear,Use Spearman
heart_disease,homocysteine_level,-0.0147,-0.08,0.0653,Monotonic but Non-linear,Use Spearman
bmi,hypertension,0.1857,0.2481,0.0624,Monotonic but Non-linear,Use Spearman
triglycerides,blood_pressure,0.0422,-0.0167,0.0589,Approximately Linear,Use Pearson
hypertension,crp_level,0.0082,-0.0488,0.057,Monotonic but Non-linear,Use Spearman
hypertension,blood_pressure,-0.0334,0.0209,0.0543,Approximately Linear,Use Pearson
crp_level,salt_intake,0.0046,0.0564,0.0517,Monotonic but Non-linear,Use Spearman
hypertension,homocysteine_level,0.0152,-0.034,0.0492,Monotonic but Non-linear,Use Spearman
triglycerides,crp_level,-0.0018,0.0457,0.0475,Monotonic but Non-linear,Use Spearman
cholesterol,homocysteine_level,0.021,0.0663,0.0453,Monotonic but Non-linear,Use Spearman
hypertension,glucose,0.034,-0.0053,0.0394,Approximately Linear,Use Pearson
heart_disease,glucose,0.0301,-0.0092,0.0393,Approximately Linear,Use Pearson
homocysteine_level,hdl,-0.003,-0.0378,0.0348,Monotonic but Non-linear,Use Spearman
heart_disease,blood_pressure,-0.0473,-0.0134,0.0339,Approximately Linear,Use Pearson
crp_level,hdl,0.0015,0.0348,0.0333,Monotonic but Non-linear,Use Spearman
homocysteine_level,salt_intake,-0.0007,-0.0318,0.0311,Monotonic but Non-linear,Use Spearman
