Feature,Coefficient,Absolute
source_dataset_hypertension,-5.7140328864131495,5.7140328864131495
source_dataset_heart,-5.41616321468725,5.41616321468725
sublabel_N,-2.2013056159959574,2.2013056159959574
heart_disease,-2.077410250732405,2.077410250732405
"disease_flags_1,0,0",1.8974567013759238,1.8974567013759238
diabetes_Yes,1.529462675896696,1.529462675896696
sublabel_DI_HT,1.2477390907294974,1.2477390907294974
"disease_flags_1,1,0",1.2477390907294974,1.2477390907294974
bmi,1.155036666144083,1.155036666144083
high_ldl_cholesterol_Yes,1.0668275163737857,1.0668275163737857
composite_key_Senior_Female_Overweight_Never_Yes,0.9691821685705783,0.9691821685705783
high_blood_pressure_Yes,0.9333588751888204,0.9333588751888204
composite_key_Senior_Male_Overweight_Former_Yes,0.8851261309322915,0.8851261309322915
composite_key_Mature_Female_Obese_Never_Yes,0.8642756306655481,0.8642756306655481
composite_key_Mature_Female_Overweight_Never_Yes,0.7885604823113057,0.7885604823113057
composite_key_Middle_Female_Obese_Never_No,-0.7688316059150695,0.7688316059150695
composite_key_Mature_Female_Overweight_Never_No,-0.744726359514094,0.744726359514094
ldl,-0.7406844816803974,0.7406844816803974
composite_key_Mature_Male_Obese_Never_Yes,0.6989337472502213,0.6989337472502213
sublabel_HY,0.6820145892329075,0.6820145892329075
"disease_flags_0,0,1",0.6820145892328933,0.6820145892328933
composite_key_Mature_Male_Overweight_Former_Yes,0.6767546958817905,0.6767546958817905
sublabel_DI_HT_HY,0.6604329811696703,0.6604329811696703
"disease_flags_1,1,1",0.66043298116967,0.66043298116967
smoking_Never,-0.6519545541259693,0.6519545541259693
composite_key_Mature_Male_Obese_Former_Yes,0.6165110270141805,0.6165110270141805
composite_key_Senior_Female_Obese_Never_Yes,0.5419002108504059,0.5419002108504059
age_level,0.5256194770171252,0.5256194770171252
composite_key_Mature_Female_Obese_Former_No,-0.5099592884695067,0.5099592884695067
composite_key_Senior_Male_Overweight_Former_No,-0.509421648639172,0.509421648639172
composite_key_Young_Female_Normal_Never_No,-0.4968723285934586,0.4968723285934586
composite_key_Senior_Male_Obese_Former_Yes,0.47382458376768644,0.47382458376768644
physical_activity_Low,-0.45516059877365556,0.45516059877365556
composite_key_Middle_Female_Overweight_Former_No,-0.44943051357201214,0.44943051357201214
hypertension,-0.44529198022152117,0.44529198022152117
composite_key_Mature_Female_Overweight_Former_Yes,0.44392805654748274,0.44392805654748274
sugar_consumption_Medium,-0.44360231284336704,0.44360231284336704
composite_key_Middle_Female_Normal_Never_No,-0.4399845112880548,0.4399845112880548
education_level_Secondary,-0.4340250704236729,0.4340250704236729
composite_key_Senior_Female_Overweight_Never_No,-0.4235555048409232,0.4235555048409232
composite_key_Middle_Male_Overweight_Current_No,-0.42100027727617007,0.42100027727617007
composite_key_Mature_Female_Normal_Former_Yes,0.4200762901588343,0.4200762901588343
bmi_level,-0.41050139580548894,0.41050139580548894
composite_key_Senior_Male_Overweight_Never_Yes,0.40348091456628865,0.40348091456628865
composite_key_Middle_Female_Overweight_Current_No,-0.3963269601770948,0.3963269601770948
composite_key_Senior_Female_Normal_Never_Yes,0.38876784843936174,0.38876784843936174
composite_key_Mature_Male_Overweight_Former_No,-0.38681048093057513,0.38681048093057513
composite_key_Middle_Female_Overweight_Never_No,-0.38640588493036676,0.38640588493036676
age_normalized,0.38407705900059214,0.38407705900059214
age,0.38407124594407216,0.38407124594407216
stress_level_Low,0.3813749547650666,0.3813749547650666
composite_key_Senior_Female_Overweight_Former_Yes,0.37982292418485986,0.37982292418485986
composite_key_Young_Female_Overweight_Never_No,-0.3771619002335612,0.3771619002335612
composite_key_Young_Male_Overweight_Never_No,-0.361943113995984,0.361943113995984
composite_key_Middle_Male_Obese_Never_No,-0.3600981411208155,0.3600981411208155
composite_key_Senior_Female_Normal_Never_No,-0.34713753537610925,0.34713753537610925
stress_level_Medium,0.34666734717798287,0.34666734717798287
composite_key_Mature_Female_Overweight_Current_No,-0.3454127495695781,0.3454127495695781
composite_key_Middle_Male_Overweight_Never_No,-0.3395139811319262,0.3395139811319262
composite_key_Young_Female_Underweight_Current_No,0.32954692752741926,0.32954692752741926
low_hdl_cholesterol_Yes,0.3253025288422473,0.3253025288422473
composite_key_Mature_Female_Obese_Former_Yes,0.3170588234862808,0.3170588234862808
composite_key_Young_Male_Underweight_Never_No,-0.3151999265483152,0.3151999265483152
composite_key_Senior_Male_Obese_Never_Yes,0.3069076333117562,0.3069076333117562
composite_key_Mature_Female_Normal_Never_No,-0.30673785166053835,0.30673785166053835
composite_key_Middle_Female_Underweight_Never_No,0.2963008096292146,0.2963008096292146
composite_key_Mature_Female_Obese_Never_No,-0.29450945709677206,0.29450945709677206
composite_key_Middle_Male_Overweight_Former_No,-0.2894222879689954,0.2894222879689954
composite_key_Mature_Male_Obese_Former_No,-0.283119787947577,0.283119787947577
composite_key_Young_Female_Obese_Never_No,-0.28164257476234084,0.28164257476234084
composite_key_Mature_Male_Normal_Former_Yes,0.2810192602566236,0.2810192602566236
composite_key_Mature_Female_Overweight_Former_No,-0.2788739987197283,0.2788739987197283
composite_key_Senior_Male_Overweight_Current_No,0.27101693926615356,0.27101693926615356
composite_key_Senior_Male_Normal_Former_Yes,0.26868586798048655,0.26868586798048655
composite_key_Senior_Female_Normal_Former_Yes,0.2628776949184087,0.2628776949184087
composite_key_Mature_Female_Normal_Former_No,-0.24513202441420967,0.24513202441420967
composite_key_Middle_Female_Obese_Former_No,-0.24163980912940425,0.24163980912940425
composite_key_Mature_Male_Underweight_Current_Yes,-0.2389105130437426,0.2389105130437426
composite_key_Young_Female_Underweight_Never_Yes,0.23596159953229964,0.23596159953229964
family_history_Yes,0.23353527418479725,0.23353527418479725
"disease_flags_0,1,0",0.2322989826227477,0.2322989826227477
sublabel_HT,0.2322989826227326,0.2322989826227326
composite_key_Senior_Male_Overweight_Never_No,0.22795609565050295,0.22795609565050295
composite_key_Mature_Male_Overweight_Never_No,-0.22552140563484901,0.22552140563484901
composite_key_Middle_Female_Normal_Never_Yes,0.22365309227503294,0.22365309227503294
composite_key_Senior_Female_Normal_Former_No,-0.22096722058683216,0.22096722058683216
sublabel_HT_HY,0.21796422108241376,0.21796422108241376
"disease_flags_0,1,1",0.21796422108240732,0.21796422108240732
composite_key_Middle_Female_Normal_Current_Yes,0.2174893231823691,0.2174893231823691
sugar_consumption_Low,-0.2157690147680042,0.2157690147680042
composite_key_Young_Male_Normal_Current_No,0.21465918826536295,0.21465918826536295
composite_key_Young_Female_Normal_Current_No,0.21391716728478893,0.21391716728478893
composite_key_Mature_Male_Normal_Former_No,-0.20571391564526154,0.20571391564526154
hdl,0.20541689855770118,0.20541689855770118
composite_key_Mature_Male_Overweight_Never_Yes,0.2052046908135804,0.2052046908135804
composite_key_Senior_Male_Normal_Current_No,0.20401220404611053,0.20401220404611053
composite_key_Mature_Female_Underweight_Never_Yes,-0.20274376411530248,0.20274376411530248
composite_key_Young_Male_Obese_Never_No,-0.1992735429980782,0.1992735429980782
composite_key_Middle_Female_Normal_Former_No,-0.1977927435875989,0.1977927435875989
composite_key_Mature_Female_Underweight_Former_Yes,-0.19738288687871183,0.19738288687871183
composite_key_Middle_Male_Obese_Former_No,-0.1950707631584544,0.1950707631584544
composite_key_Mature_Male_Normal_Current_Yes,0.19352931262589096,0.19352931262589096
composite_key_Senior_Female_Normal_Current_No,0.192205935976761,0.192205935976761
composite_key_Middle_Male_Normal_Current_Yes,-0.1871293981726479,0.1871293981726479
composite_key_Senior_Female_Underweight_Former_No,0.18601834151558835,0.18601834151558835
composite_key_Middle_Male_Overweight_Current_Yes,-0.18594789270104348,0.18594789270104348
composite_key_Mature_Female_Overweight_Current_Yes,0.18436181877703064,0.18436181877703064
composite_key_Mature_Male_Obese_Never_No,-0.18074241659286253,0.18074241659286253
composite_key_Middle_Male_Underweight_Former_No,0.1805516777009188,0.1805516777009188
composite_key_Middle_Male_Normal_Former_Yes,-0.17931730427947787,0.17931730427947787
composite_key_Middle_Male_Obese_Former_Yes,-0.1791017556444676,0.1791017556444676
composite_key_Senior_Male_Underweight_Current_Yes,-0.17527720889718607,0.17527720889718607
composite_key_Young_Male_Normal_Former_Yes,0.17286007269268616,0.17286007269268616
composite_key_Young_Male_Overweight_Former_No,-0.16764277073605832,0.16764277073605832
smoking_Former,-0.1672031206872593,0.1672031206872593
composite_key_Young_Male_Overweight_Current_No,0.16685548276713674,0.16685548276713674
composite_key_Senior_Female_Obese_Current_Yes,-0.16661202854610235,0.16661202854610235
composite_key_Mature_Female_Underweight_Former_No,0.1657692483485285,0.1657692483485285
physical_activity_Moderate,-0.16280546042982447,0.16280546042982447
composite_key_Senior_Male_Underweight_Never_Yes,-0.1620446183659871,0.1620446183659871
composite_key_Senior_Male_Obese_Never_No,0.16127825685793584,0.16127825685793584
homocysteine_level,-0.15748369550072416,0.15748369550072416
composite_key_Middle_Female_Overweight_Former_Yes,-0.1571593166432171,0.1571593166432171
composite_key_Senior_Male_Normal_Never_Yes,0.15637277597912103,0.15637277597912103
composite_key_Mature_Female_Underweight_Current_Yes,-0.15608292791546968,0.15608292791546968
composite_key_Young_Female_Underweight_Never_No,-0.15182721670448518,0.15182721670448518
composite_key_Senior_Female_Obese_Former_No,-0.15138878179333204,0.15138878179333204
