Column,Missing Count,Missing Percentage
composite_key,0,0.0
age_level,0,0.0
gender,0,0.0
bmi_level,0,0.0
smoking,0,0.0
diabetes,0,0.0
age,0,0.0
age_normalized,0,0.0
bmi,0,0.0
hypertension,0,0.0
heart_disease,0,0.0
HbA1c_level,0,0.0
glucose,0,0.0
cholesterol,0,0.0
sleep_hours,0,0.0
triglycerides,0,0.0
physical_activity,0,0.0
family_history,0,0.0
stress_level,0,0.0
low_hdl_cholesterol,0,0.0
high_ldl_cholesterol,0,0.0
blood_pressure,0,0.0
high_blood_pressure,0,0.0
sugar_consumption,0,0.0
crp_level,0,0.0
homocysteine_level,0,0.0
systolic_bp,0,0.0
diastolic_bp,0,0.0
alcohol_intake,0,0.0
salt_intake,0,0.0
heart_rate,0,0.0
hdl,0,0.0
ldl,0,0.0
education_level,0,0.0
employment_status,0,0.0
source_dataset,0,0.0
disease_flags,0,0.0
sublabel,0,0.0
label,0,0.0
