,age,age_normalized,bmi,hypertension,heart_disease,HbA1c_level,glucose,cholesterol,sleep_hours,triglycerides,blood_pressure,crp_level,homocysteine_level,systolic_bp,diastolic_bp,alcohol_intake,salt_intake,heart_rate,hdl,ldl
age,1.0,0.9999396998330004,0.09176198797941411,0.4909350572406417,0.5231126813940071,0.08879633849202777,0.024389270904317355,0.038846857052257565,0.04793087722010551,-0.1600322010634994,-0.152241022959959,0.04184075113296412,0.04224995376176051,0.02647950970356491,0.009992598146443134,0.01512954562231843,0.01760733738786436,0.007732692642558002,-0.03175301078478421,-0.0405962688892058
age_normalized,0.9999396998330004,1.0,0.09231046936150476,0.48575107200355666,0.5177035281530927,0.086427363147413,0.02444838841084454,0.03894855034392715,0.047847488655826505,-0.15421097541561812,-0.15353842525290526,0.04282740623738024,0.0431004841584721,0.02671309636559691,0.010023945050252838,0.015180620120835073,0.017698023338432387,0.007774647700182763,-0.031915825199253504,-0.04075061115001235
bmi,0.09176198797941411,0.09231046936150476,1.0,0.2480647010366213,0.1462390652877353,0.029497585666505673,0.013597358483858554,0.03258904599007728,0.03453259069031,-0.021615256169623794,-0.08532075053633557,-0.16420956728013414,0.16609632852080328,0.008690349081015207,0.0015965517025170479,-0.01269838142919962,-0.0008808653708927619,0.002701626447762628,-0.030162879012303863,-0.029636870824281195
hypertension,0.4909350572406417,0.48575107200355666,0.2480647010366213,1.0,0.7584090771037287,0.39118397526671883,-0.005326199786225038,0.016489300807145852,0.030825539912979826,-0.35028378673522603,0.020915698795357592,-0.048816742972325126,-0.033967776135589864,0.007670251748053141,-0.003453796231352355,-0.004082544172387436,0.005364433224449632,0.004518983620692183,-0.011225081632881408,-0.020888316486759078
heart_disease,0.5231126813940071,0.5177035281530927,0.1462390652877353,0.7584090771037287,1.0,0.34050600898377864,-0.009159443993944978,0.010826880367032716,0.028577056365594853,-0.36921711501857307,-0.013406051019328924,-0.08585259018017027,-0.08000888995672077,0.009726662752760547,-0.00047848251698708814,-0.005701940423745805,0.004806379288692933,-0.0004688805021925665,-0.009332426186875157,-0.01745524170905889
HbA1c_level,0.08879633849202777,0.086427363147413,0.029497585666505673,0.39118397526671883,0.34050600898377864,1.0,0.025111122335468014,0.00945425780514681,0.017612309516996386,-0.1553830116882763,0.19232305664274618,-0.027430526206679975,-0.08241201252084031,0.011795212385557287,0.001639629644732668,-0.011462498163501011,0.006598424775652018,0.0002568321489300744,-0.009006043555763045,-0.008965807028478854
glucose,0.024389270904317355,0.02444838841084454,0.013597358483858554,-0.005326199786225038,-0.009159443993944978,0.025111122335468014,1.0,0.0014756135956750709,0.0030534856918066843,-0.007578693309307365,0.007785449131260689,0.0002939211566909899,-0.009202536949460435,0.004728510857251282,0.003269506215972582,-0.005548532547124138,0.0037709483358150456,-0.0019960473738572485,-0.0018065602464255913,-0.0043135383109399565
cholesterol,0.038846857052257565,0.03894855034392715,0.03258904599007728,0.016489300807145852,0.010826880367032716,0.00945425780514681,0.0014756135956750709,1.0,0.033464240109582426,-0.022364853116856587,-0.03614596806912163,0.002529747319955875,0.06634301408619801,-0.002604666080824846,-0.005766557221971869,0.0067747786991948075,-0.008076863471860892,-0.007662519949263399,-0.00723010494493782,0.0033942290818340954
sleep_hours,0.04793087722010551,0.047847488655826505,0.03453259069031,0.030825539912979826,0.028577056365594853,0.017612309516996386,0.0030534856918066843,0.033464240109582426,1.0,-0.0517828720922984,-0.03536944716629649,0.02256488495307993,0.019153860829180518,0.00581558865558084,-0.01143165162466223,0.006305543994429276,0.010231451195011393,-0.02327065304279146,0.00204395462082721,-0.017571829642610344
triglycerides,-0.1600322010634994,-0.15421097541561812,-0.021615256169623794,-0.35028378673522603,-0.36921711501857307,-0.1553830116882763,-0.007578693309307365,-0.022364853116856587,-0.0517828720922984,1.0,-0.01672635801546908,0.04571943559285682,0.015401990580591367,-0.01892325713462268,0.0020639345536622735,0.013313480128716646,-0.002446574595740108,0.015040265944383416,0.008334909820402229,0.010811606818879221
