,age,age_normalized,bmi,hypertension,heart_disease,HbA1c_level,glucose,cholesterol,sleep_hours,triglycerides,blood_pressure,crp_level,homocysteine_level,systolic_bp,diastolic_bp,alcohol_intake,salt_intake,heart_rate,hdl,ldl
age,0.0,6.030016615998779e-05,0.007766437926509301,0.10100710177000155,0.1183639538760547,0.018594490015830592,0.008924470185019365,0.006612805483988397,0.0018719865803050323,0.004889982503593099,0.008692377644504284,0.0004347156380328371,0.002692494865087665,0.022593040470354687,0.009463707779023807,0.014756937892655524,0.013066742077910476,0.00938587561478386,0.028463005531746202,0.029820030557186614
age_normalized,6.030016615998779e-05,0.0,0.007217994035322889,0.09582320172462078,0.11295486726536885,0.020963219150325937,0.00886538999224,0.006714503721831189,0.0017886168001531935,0.010710715552625732,0.009989747356017487,0.001421326428907757,0.0018419612869423202,0.022826632149247215,0.00949505126510054,0.01480801215262406,0.013157426746011546,0.009427833576933838,0.028625819625091427,0.029974377760654106
bmi,0.007766437926509301,0.007217994035322889,0.0,0.06239651572692406,0.0769874055962155,0.006707394411578169,0.014716554657191332,0.00583904960531809,0.0025803552852709175,0.010252680734592705,0.0062162256456683995,0.12576091299431796,0.10308823608141876,0.009053540767446168,0.001420877149206057,0.008188919065883201,0.0006478210350731437,0.005712658106287379,0.025388560477946603,0.02502476702779398
hypertension,0.10100710177000155,0.09582320172462078,0.06239651572692406,0.0,0.4679890441150729,0.12630184485996387,0.03937555231320297,0.005166863081992651,0.011927304569397786,0.239088735071257,0.05433631068303635,0.057022779395070534,0.04921430668314053,0.00651589596386624,0.0017824202814426707,0.0025606344789186044,0.0040710110766381865,0.003998585678982538,0.009275899083859016,0.015567255064057067
heart_disease,0.1183639538760547,0.11295486726536885,0.0769874055962155,0.4679890441150729,0.0,0.11709346161935777,0.03929739663212424,0.003337413760331299,0.013052774771173161,0.24959402906351824,0.0338575759437372,0.07356337522893225,0.06529979494445287,0.007441157288260454,0.0012852328024131328,0.004614991922968201,0.0023998082192023666,0.001235519373618074,0.007534433273212023,0.012099504793611384
HbA1c_level,0.018594490015830592,0.020963219150325937,0.006707394411578169,0.12630184485996387,0.11709346161935777,0.0,0.02609761817891365,0.0024626200848344437,7.434573310042408e-05,0.009417373018274916,0.12291196130919652,0.010855747120495939,0.07051061340710754,0.006756282756672503,0.0026479061602735308,0.009279965946308467,0.004375233569184041,0.000844392025864876,0.0071195141599185,0.005115800063866395
glucose,0.008924470185019365,0.00886538999224,0.014716554657191332,0.03937555231320297,0.03929739663212424,0.02609761817891365,0.0,0.0006859252547127625,0.0021414180993230437,0.00561136167977226,0.0064370489307229595,0.0005674350752949331,0.0044838994866700736,0.003141245642408024,0.00248917617587913,0.004966144258517516,0.0037889850089317958,0.0007185818646617426,0.003108311664919643,0.0020157728967746874
cholesterol,0.006612805483988397,0.006714503721831189,0.00583904960531809,0.005166863081992651,0.003337413760331299,0.0024626200848344437,0.0006859252547127625,0.0,0.014968820267981412,0.0061082863507298975,0.004159848876422061,0.003896711200193928,0.04529968055566629,0.0008116032345613128,0.007297543630132436,0.01013079341633959,0.007930002929319538,0.007404793957739965,0.004817360425502307,0.004833045749510087
sleep_hours,0.0018719865803050323,0.0017886168001531935,0.0025803552852709175,0.011927304569397786,0.013052774771173161,7.434573310042408e-05,0.0021414180993230437,0.014968820267981412,0.0,0.007724418072332248,0.014831057411318696,0.0038194251612261344,0.00521630645540771,0.004246903610571142,0.006282322729018793,0.00802881616487619,0.008007564729300764,0.019604820430731317,0.005150644923015878,0.012012720761175894
triglycerides,0.004889982503593099,0.010710715552625732,0.010252680734592705,0.239088735071257,0.24959402906351824,0.009417373018274916,0.00561136167977226,0.0061082863507298975,0.007724418072332248,0.0,0.05894804173561823,0.04748787759132467,0.030017442260659492,0.01580026654637546,0.0033247981482841826,0.008197390084226422,0.0004876065938757071,0.010983370185609088,0.005313388122669061,0.006475803942719474
blood_pressure,0.008692377644504284,0.009989747356017487,0.0062162256456683995,0.05433631068303635,0.0338575759437372,0.12291196130919652,0.0064370489307229595,0.004159848876422061,0.014831057411318696,0.05894804173561823,0.0,0.02039959059335427,0.024495842066087417,0.02937096338325439,0.0012855746017562744,0.0007001890459682604,0.0021385402004728115,0.017022774082822954,0.014101128101812825,0.01747661196776668
crp_level,0.0004347156380328371,0.001421326428907757,0.12576091299431796,0.057022779395070534,0.07356337522893225,0.010855747120495939,0.0005674350752949331,0.003896711200193928,0.0038194251612261344,0.04748787759132467,0.02039959059335427,0.0,0.06838713909623002,0.008320012718573489,0.010220156841073542,0.009696432149499218,0.05174282628425584,0.02830457003175352,0.033296852948713145,0.010801169910799442
homocysteine_level,0.002692494865087665,0.0018419612869423202,0.10308823608141876,0.04921430668314053,0.06529979494445287,0.07051061340710754,0.0044838994866700736,0.04529968055566629,0.00521630645540771,0.030017442260659492,0.024495842066087417,0.06838713909623002,0.0,0.00907167393776353,0.02501864769278789,0.00261998885548647,0.031119138364993523,0.009413450175057363,0.03482961667436835,0.0011837815610569358
systolic_bp,0.022593040470354687,0.022826632149247215,0.009053540767446168,0.00651589596386624,0.007441157288260454,0.006756282756672503,0.003141245642408024,0.0008116032345613128,0.004246903610571142,0.01580026654637546,0.02937096338325439,0.008320012718573489,0.00907167393776353,0.0,0.00097457462323649,0.015290768848879718,0.014236415428227765,0.001485184858965934,0.006493762269924791,0.021267822422380636
diastolic_bp,0.009463707779023807,0.00949505126510054,0.001420877149206057,0.0017824202814426707,0.0012852328024131328,0.0026479061602735308,0.00248917617587913,0.007297543630132436,0.006282322729018793,0.0033247981482841826,0.0012855746017562744,0.010220156841073542,0.02501864769278789,0.00097457462323649,0.0,0.00804223534407063,0.0099852807388611,0.009180457476307526,0.006459367505807834,0.005488290889431364
alcohol_intake,0.014756937892655524,0.01480801215262406,0.008188919065883201,0.0025606344789186044,0.004614991922968201,0.009279965946308467,0.004966144258517516,0.01013079341633959,0.00802881616487619,0.008197390084226422,0.0007001890459682604,0.009696432149499218,0.00261998885548647,0.015290768848879718,0.00804223534407063,0.0,0.00032887491251683016,0.01041124096863836,0.009788750064520253,0.011881751790044635
salt_intake,0.013066742077910476,0.013157426746011546,0.0006478210350731437,0.0040710110766381865,0.0023998082192023666,0.004375233569184041,0.0037889850089317958,0.007930002929319538,0.008007564729300764,0.0004876065938757071,0.0021385402004728115,0.05174282628425584,0.031119138364993523,0.014236415428227765,0.0099852807388611,0.00032887491251683016,0.0,0.013807307272311563,0.0026875434606521576,0.019549167037046417
heart_rate,0.00938587561478386,0.009427833576933838,0.005712658106287379,0.003998585678982538,0.001235519373618074,0.000844392025864876,0.0007185818646617426,0.007404793957739965,0.019604820430731317,0.010983370185609088,0.017022774082822954,0.02830457003175352,0.009413450175057363,0.001485184858965934,0.009180457476307526,0.01041124096863836,0.013807307272311563,0.0,0.015137145527591373,0.006037987803581345
hdl,0.028463005531746202,0.028625819625091427,0.025388560477946603,0.009275899083859016,0.007534433273212023,0.0071195141599185,0.003108311664919643,0.004817360425502307,0.005150644923015878,0.005313388122669061,0.014101128101812825,0.033296852948713145,0.03482961667436835,0.006493762269924791,0.006459367505807834,0.009788750064520253,0.0026875434606521576,0.015137145527591373,0.0,0.0052994366100247185
ldl,0.029820030557186614,0.029974377760654106,0.02502476702779398,0.015567255064057067,0.012099504793611384,0.005115800063866395,0.0020157728967746874,0.004833045749510087,0.012012720761175894,0.006475803942719474,0.01747661196776668,0.010801169910799442,0.0011837815610569358,0.021267822422380636,0.005488290889431364,0.011881751790044635,0.019549167037046417,0.006037987803581345,0.0052994366100247185,0.0
